,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
56993,3/24/15,Payday loan,Payday loan,Can't stop charges to bank account,Can't stop charges to bank account,"I took out a Loan from Cash Central XXXX, Al for {$300.00} sense that time I lost my job and also my medications went through the roof so I was unable to pay the Loan back. Every sense that time I have been receiving phone calls everyday. Not a day pass they are calling me and they always call from a different number so I never know who it is calling. They have caused me to pay out so much money at my Bank, at the time my Bank was XXXX XXXX in XXXX, Al. They have caused me to pay out hundreds of dollars in overdraft fees, money that I could have paid them with but they would not stop trying to debit my account. They call every day starting at around XXXX I am telling them the same thing each time they call me that I do not have any money to pay them now if I did have the money I would pay them each month until I paid them up but until my income increase I am not able to pay them. I am on a fix income and I can not pay them now and I can not tell you when I can pay because I do n't know my self. I am so tired of the harassing phone calls I am on XXXX and XXXX and every day it gets worse and worse and I ca n't keep putting up with them calling every day like this it works on my nerves and it up sets me really bad. I told XXXX people that call me that I would try to pay something next month and she screamed at me and said next month, why next month? I told her I had to see how my bills would run and I could not give her and amount so to how much I can pay. I know even if I could pay them it would not be more than {$4.00} or {$5.00} dollars if that much. They just keep calling and calling every day. They have been doing this for the pass 6 or 7 months and I ca n't take it any longer. My nerves are to bad and they runs my XXXX XXXX up by calling every day. If they were to slow down the calls except to may be once a month then that would be helpful a little but I still do n't know if I would have any money to pay them even then. I can try if I have any money left but I seriously doubt it not right now until my bills comes down. I am paying high bills right now and it is taking all of my money to just keep my house going so that I can have some where to live. It 's not that I do n't want to pay them but I do not have the money now. They ruined my Bank account and I had to close it because of all the over draft fees the Bank was charging me. Each day they sent the debit through for the {$300.00} and some dollars and every day the Bank charged me {$38.00} per transaction, I paid out a lot of money to the Bank for these transactions, money they could have had if they would not have kept trying to debit my account. I am so tired of this and I do n't know nothing else to do except not answer the phone but If I did that I could miss important phone calls from other people I need to talk to. I am just tired of the harassing phone calls. This is not good for my illness. Regardless of what I say to them they still call every day. I just want the calls to stop. I will pay something when ever I can. _x000D_",Company chooses not to provide a public response,"Community Choice Financial, Inc.",AL,351XX,Older American,Consent provided,Web,3/24/15,Closed with explanation,Yes,No,1299258
57150,3/19/15,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,This dentist appt was back in 2012 and I was under XXXX XXXX dental insurance. _x000D_XXXX XXXX did not file the claim with XXXX XXXX as I was 100 % covered for any dental services. I have explained this to XXXX XXXX and ARC-This is a case of complete incompetency on XXXX XXXX part and even more so with ARC. _x000D_We do not owe this debt-it belongs to XXXX XXXX and XXXX dental should go to them and collect the fees. No services were provided in any way other then to attempt to talk me into whitening my teeth. The receptionist at XXXX XXXX has stated that they have just sent 12 years worth of unpaid acct receivables to ARC and they are getting bombarded with calls about not owing the debt. ARC has been calling repeatedly both my wife and I. My wife was the primary insured and has no responsibility whatsoever and has no relationship to this debt. _x000D_,Company believes it acted appropriately as authorized by contract or law,Accounts Receivable Consultants Inc.,TX,774XX,Older American,Consent provided,Web,3/19/15,Closed with explanation,Yes,No,1290580
57207,3/24/15,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,"I pulled a credit report and noticed a collection account. It is an amount of 120 dollars. I reached out via certified mail in an attempt to verify debt and even settle since it was a small amount. First Credit Services will not answer me with any information about debt and unfortunately I can barely understand their customer service when speaking over the phone with them. _x000D__x000D_Back in XX/XX/XXXX spoke numerous times to trainer XXXX. Informed me only XXXX could help me. So after numerous attempts in XX/XX/XXXX turned my key fob in to XXXX as I was unable to reach XXXX.I have been charged up until XX/XX/XXXX. Even XXXX called me to get my new card security info, XXXX numbers on back of card, which I never gave out but they worked around that as I never gave consent to debit my new credit card. _x000D_Emailed XX/XX/XXXX via online "" email my club '' link asking for membership and contract info identifying myself. That email wentunanswered. _x000D__x000D_XX/XX/XXXX called XXXX spoke with XXXX who tried to call the XXXX branch but like usual no one was in. XXXX said she would call me back when she heard back but would not give me her extension or direct line to reach her. She never called me back. Several calls later all with no answers I had to cancel credit/debit cards and get new account. Since then it appear as if penalty fees have been assessed. _x000D_The cancellation letter and the amount to collect do not even match. _x000D_",Company believes it acted appropriately as authorized by contract or law,First Credit Services Inc.,NY,140XX,Servicemember,Consent provided,Web,3/24/15,Closed with explanation,Yes,No,1299540
57286,3/19/15,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"I have disputed the information with the company. However, I have not gotten a response. Unfortunately, I was the victim of identity theft. I have done everything required of me by law to dispute the fraudulent items on my credit report. I sent a letter to "" XXXX XXXX '' XX/XX/2014 via XXXX certified mail. The company refuses to honor my rights under the FDCPA & the FCRA as a victim of identity theft to remove the fraudulent inquiry that was submitted without my knowledge, consent and/or authorization. _x000D__x000D_Please find attached the notice that was sent out along with the attached certified receipt. Information can be tracked online using referenced information. Thank you for you time and attention regarding the matter. _x000D_",Company chooses not to provide a public response,BB&T Financial,MD,207XX,Servicemember,Consent provided,Web,3/25/15,Closed with explanation,Yes,No,1292215
57299,3/19/15,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"I have reached out to the company. However, they never responded. Unfortunately, I was the victim of identity theft. I have done everything required of me by law to dispute the fraudulent items on my credit report. I sent a letter to "" Sun Trust '' on XX/XX/2014 via XXXX certified mail. The company refuses to honor my rights under the FDCPA & the FCRA as a victim of identity theft to remove the fraudulent inquiry that was submitted without my knowledge, consent and/or authorization. _x000D__x000D_Please find attached the notice that was sent out along with the attached certified receipt. Information can be tracked online using referenced information. Thank you for you time and attention regarding the matter. _x000D_",Company chooses not to provide a public response,"SunTrust Banks, Inc.",MD,207XX,Servicemember,Consent provided,Web,2015-03-04 00:00:00,Closed with explanation,Yes,Yes,1292216
57319,3/19/15,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"Reached out to them however, never got a response. Unfortunately, I was the victim of identity theft. I have done everything required of me by law to dispute the fraudulent items on my credit report. I sent a letter to "" Flagship Credit '' on XXXX via XXXX certified mail. The company refuses to honor my rights under the FDCPA & the FCRA as a victim of identity theft to remove the fraudulent inquiry that was submitted without my knowledge, consent and/or authorization. _x000D__x000D_Please find attached the notice that was sent out along with the attached certified receipt. Information can be tracked online using referenced information. Thank you for you time and attention regarding the matter. _x000D_",Company believes it acted appropriately as authorized by contract or law,FC HoldCo LLC,MD,207XX,Servicemember,Consent provided,Web,3/31/15,Closed with explanation,Yes,Yes,1292219
57420,3/24/15,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,"I received phone calls from ACS collection agency around XXXX of XXXX regarding a medical debt that did not belong to me back from XXXX of XXXX. I tried to explain the situation at the time and was threatened with legal action. I called the hospital the charge was from and spoke with billing where it was discovered I had the same name as the individual whom the charge belonged but different birthdays and social security numbers. As well as the fact I have never been to that facility and was in XXXX when the charge occurred. I was assured the situation was resolved and I never heard from the collection agency or medical facility again. On XXXX XXXX, XXXX I discovered on my credit report a medical charge filed by ACS Collection agency for the same medical expense that was supposed to have been resolved when I called them in XXXX of XXXX. The charged was filed with the credit reporting company on XXXX XXXX, XXXX. This charge does not belong to me and I was told the issue was resolved. _x000D_",Company can't verify or dispute the facts in the complaint,"The Affiliated Group, Inc",MD,207XX,Servicemember,Consent provided,Web,3/24/15,Closed with explanation,Yes,No,1298684
57898,3/25/15,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Sued w/o proper notification of suit,"Fairway Collections is suing me for a debt incurred XX/XX/XXXX. The debt was for {$160.00}. They garnished my husband 's wages and collected {$230.00}. They did n't garnish anymore and thought the debt was paid. Then, in XX/XX/XXXX they attempted to garnish again and we made a payment agreement paying another {$150.00}. ( at that time I was suffering from the effects of XXXX XXXX XXXX ) Again, we thought our obligation was finished. Now they are attempting to garnish my husband 's wages again for the same debt and this time have tacked on interest, court fees, etc. for a grand total of {$1500.00}! That is 12 times the amount of the original debt! We offered them our entire income tax return of {$400.00} and they refused! Please help us. My husband just got a new job because his company is closing. The new medical insurance is unaffordable for me and being a XXXX XXXX survivor it is very important for me to have insurance. We were in the process of purchasing insurance for me but the collection agency will take XXXX % of my husband 's paycheck. _x000D_",Company believes it acted appropriately as authorized by contract or law,"Fairway Collections, LLC",WA,985XX,Servicemember,Consent provided,Web,3/25/15,Closed with explanation,Yes,Yes,1299795
57992,2015-03-04 00:00:00,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"Last year in XX/XX/XXXX, Enhanced Recovery company sent me a letter trying to collect on an XXXX debt. I have never used XXXX so I contacted them asking them to verify the debt was correct. They have never sent me anything. I called XXXX trying to find out anything, and they cant find my name anywhere in their systems. They sent me to the fraud department to investigate further, and nothing. I am no where in their computers. I asked XXXX if they could send me a letter stating that, and they told me they have nothing to send me since I have never been in their system. I wrote a letter then to the collection agency responding to this account, and they have never contacted me. I called them back and they know nothing about the letter and told me I need to pay my bills and questioning my character ( in not so nice words ) I am so frustrated to be in this catch 22, I heard you would help me! The story continues. Now the same company showed up on my credit report this morning. ( I am monitoring my credit now ) This time with a direct tv bill. I did have a direct tv account, but it was paid in full and the box was mailed back. Seems really convenient that this would come up now. I am almost in tears. I am trying to purchase a home and this has completely stopped me in my tracks. My loan officer says to dispute and have them deleted in order to qualify, and I have no where else to turn. How can they do this!!?? _x000D_",Company believes it acted appropriately as authorized by contract or law,ERC,CA,914XX,Servicemember,Consent provided,Web,2015-03-04 00:00:00,Closed with non-monetary relief,Yes,No,1314660
58003,2015-03-04 00:00:00,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,I am writing this complaint in regards to FCO an debt collection company attempting to collect a debt from me. I have no proof or knowledge that I owe this debt. I moved out of XXXX House in XXXX of XX/XX/2013 and paid any remaining balance I owed. I believe this debt is unjust and inaccurate. _x000D_,Company chooses not to provide a public response,"FAIR COLLECTIONS & OUTSOURCING, INC.",NY,112XX,Servicemember,Consent provided,Web,2015-03-04 00:00:00,Closed with explanation,Yes,Yes,1314685
